series_id,year,period,period_name,value,state
LAUST300000000000003,2020,M01,January,4.4,Montana
LAUST310000000000003,2025,M07,July,3.2,Nebraska
LAUST310000000000003,2025,M06,June,3.3,Nebraska
LAUST310000000000003,2025,M05,May,2.9,Nebraska
LAUST310000000000003,2025,M04,April,2.9,Nebraska
LAUST310000000000003,2025,M03,March,2.9,Nebraska
LAUST310000000000003,2025,M02,February,3.4,Nebraska
LAUST310000000000003,2025,M01,January,3.2,Nebraska
LAUST310000000000003,2024,M12,December,2.6,Nebraska
LAUST310000000000003,2024,M11,November,2.7,Nebraska
LAUST310000000000003,2024,M10,October,2.7,Nebraska
LAUST310000000000003,2024,M09,September,2.6,Nebraska
LAUST310000000000003,2024,M08,August,2.8,Nebraska
LAUST310000000000003,2024,M07,July,3.1,Nebraska
LAUST310000000000003,2024,M06,June,3.1,Nebraska
LAUST310000000000003,2024,M05,May,2.6,Nebraska
LAUST310000000000003,2024,M04,April,2.4,Nebraska
LAUST310000000000003,2024,M03,March,2.7,Nebraska
LAUST310000000000003,2024,M02,February,2.9,Nebraska
LAUST310000000000003,2024,M01,January,2.8,Nebraska
LAUST310000000000003,2023,M12,December,2.3,Nebraska
LAUST310000000000003,2023,M11,November,2.2,Nebraska
LAUST310000000000003,2023,M10,October,2.5,Nebraska
LAUST310000000000003,2023,M09,September,2.3,Nebraska
LAUST310000000000003,2023,M08,August,2.3,Nebraska
LAUST310000000000003,2023,M07,July,2.4,Nebraska
LAUST310000000000003,2023,M06,June,2.6,Nebraska
LAUST310000000000003,2023,M05,May,2.2,Nebraska
LAUST310000000000003,2023,M04,April,2.0,Nebraska
LAUST310000000000003,2023,M03,March,2.2,Nebraska
LAUST310000000000003,2023,M02,February,2.4,Nebraska
LAUST310000000000003,2023,M01,January,2.3,Nebraska
LAUST310000000000003,2022,M12,December,2.1,Nebraska
LAUST310000000000003,2022,M11,November,2.0,Nebraska
LAUST310000000000003,2022,M10,October,2.1,Nebraska
LAUST310000000000003,2022,M09,September,2.0,Nebraska
LAUST310000000000003,2022,M08,August,2.3,Nebraska
LAUST310000000000003,2022,M07,July,2.4,Nebraska
LAUST310000000000003,2022,M06,June,2.5,Nebraska
LAUST310000000000003,2022,M05,May,2.0,Nebraska
LAUST310000000000003,2022,M04,April,1.9,Nebraska
LAUST310000000000003,2022,M03,March,2.2,Nebraska
LAUST310000000000003,2022,M02,February,2.3,Nebraska
LAUST310000000000003,2022,M01,January,2.4,Nebraska
LAUST310000000000003,2021,M12,December,1.8,Nebraska
LAUST310000000000003,2021,M11,November,1.8,Nebraska
LAUST310000000000003,2021,M10,October,2.1,Nebraska
LAUST310000000000003,2021,M09,September,2.1,Nebraska
LAUST310000000000003,2021,M08,August,2.5,Nebraska
LAUST310000000000003,2021,M07,July,2.8,Nebraska
LAUST310000000000003,2021,M06,June,3.2,Nebraska
LAUST310000000000003,2021,M05,May,2.7,Nebraska
LAUST310000000000003,2021,M04,April,2.7,Nebraska
LAUST310000000000003,2021,M03,March,3.1,Nebraska
LAUST310000000000003,2021,M02,February,3.5,Nebraska
LAUST310000000000003,2021,M01,January,3.4,Nebraska
LAUST310000000000003,2020,M12,December,2.8,Nebraska
LAUST310000000000003,2020,M11,November,2.5,Nebraska
LAUST310000000000003,2020,M10,October,2.5,Nebraska
LAUST310000000000003,2020,M09,September,3.2,Nebraska
LAUST310000000000003,2020,M08,August,3.5,Nebraska
LAUST310000000000003,2020,M07,July,4.8,Nebraska
LAUST310000000000003,2020,M06,June,5.6,Nebraska
LAUST310000000000003,2020,M05,May,6.6,Nebraska
LAUST310000000000003,2020,M04,April,8.0,Nebraska
LAUST310000000000003,2020,M03,March,5.1,Nebraska
LAUST310000000000003,2020,M02,February,3.1,Nebraska
LAUST310000000000003,2020,M01,January,3.3,Nebraska
LAUST320000000000003,2025,M07,July,5.6,Nevada
LAUST320000000000003,2025,M06,June,5.6,Nevada
LAUST320000000000003,2025,M05,May,5.2,Nevada
LAUST320000000000003,2025,M04,April,5.0,Nevada
LAUST320000000000003,2025,M03,March,5.4,Nevada
LAUST320000000000003,2025,M02,February,5.7,Nevada
LAUST320000000000003,2025,M01,January,5.9,Nevada
LAUST320000000000003,2024,M12,December,5.6,Nevada
LAUST320000000000003,2024,M11,November,5.7,Nevada
LAUST320000000000003,2024,M10,October,5.6,Nevada
LAUST320000000000003,2024,M09,September,5.5,Nevada
LAUST320000000000003,2024,M08,August,5.9,Nevada
LAUST320000000000003,2024,M07,July,6.1,Nevada
LAUST320000000000003,2024,M06,June,5.8,Nevada
LAUST320000000000003,2024,M05,May,5.3,Nevada
LAUST320000000000003,2024,M04,April,5.2,Nevada
LAUST320000000000003,2024,M03,March,5.3,Nevada
LAUST320000000000003,2024,M02,February,5.4,Nevada
LAUST320000000000003,2024,M01,January,5.4,Nevada
LAUST320000000000003,2023,M12,December,5.0,Nevada
LAUST320000000000003,2023,M11,November,4.9,Nevada
LAUST320000000000003,2023,M10,October,5.2,Nevada
LAUST320000000000003,2023,M09,September,5.2,Nevada
LAUST320000000000003,2023,M08,August,5.3,Nevada
LAUST320000000000003,2023,M07,July,5.3,Nevada
LAUST320000000000003,2023,M06,June,5.2,Nevada
LAUST320000000000003,2023,M05,May,5.1,Nevada
LAUST320000000000003,2023,M04,April,4.8,Nevada
LAUST320000000000003,2023,M03,March,5.0,Nevada
LAUST320000000000003,2023,M02,February,5.3,Nevada
LAUST320000000000003,2023,M01,January,5.4,Nevada
LAUST320000000000003,2022,M12,December,4.9,Nevada
LAUST320000000000003,2022,M11,November,5.1,Nevada
LAUST320000000000003,2022,M10,October,5.1,Nevada
LAUST320000000000003,2022,M09,September,5.1,Nevada
LAUST320000000000003,2022,M08,August,5.4,Nevada
LAUST320000000000003,2022,M07,July,5.4,Nevada
LAUST320000000000003,2022,M06,June,5.5,Nevada
LAUST320000000000003,2022,M05,May,5.1,Nevada
LAUST320000000000003,2022,M04,April,5.0,Nevada
LAUST320000000000003,2022,M03,March,5.0,Nevada
LAUST320000000000003,2022,M02,February,5.3,Nevada
LAUST320000000000003,2022,M01,January,5.6,Nevada
LAUST320000000000003,2021,M12,December,4.8,Nevada
LAUST320000000000003,2021,M11,November,5.0,Nevada
LAUST320000000000003,2021,M10,October,5.3,Nevada
LAUST320000000000003,2021,M09,September,5.6,Nevada
LAUST320000000000003,2021,M08,August,6.4,Nevada
LAUST320000000000003,2021,M07,July,7.0,Nevada
LAUST320000000000003,2021,M06,June,7.4,Nevada
LAUST320000000000003,2021,M05,May,7.0,Nevada
LAUST320000000000003,2021,M04,April,7.6,Nevada
LAUST320000000000003,2021,M03,March,7.9,Nevada
LAUST320000000000003,2021,M02,February,8.5,Nevada
LAUST320000000000003,2021,M01,January,9.2,Nevada
LAUST320000000000003,2020,M12,December,9.5,Nevada
LAUST320000000000003,2020,M11,November,9.8,Nevada
LAUST320000000000003,2020,M10,October,10.6,Nevada
LAUST320000000000003,2020,M09,September,12.8,Nevada
LAUST320000000000003,2020,M08,August,13.8,Nevada
LAUST320000000000003,2020,M07,July,17.3,Nevada
LAUST320000000000003,2020,M06,June,19.2,Nevada
LAUST320000000000003,2020,M05,May,25.0,Nevada
LAUST320000000000003,2020,M04,April,30.1,Nevada
LAUST320000000000003,2020,M03,March,7.6,Nevada
LAUST320000000000003,2020,M02,February,4.2,Nevada
LAUST320000000000003,2020,M01,January,4.4,Nevada
LAUST330000000000003,2025,M07,July,3.1,New Hampshire
LAUST330000000000003,2025,M06,June,2.9,New Hampshire
LAUST330000000000003,2025,M05,May,2.8,New Hampshire
LAUST330000000000003,2025,M04,April,2.9,New Hampshire
LAUST330000000000003,2025,M03,March,3.5,New Hampshire
LAUST330000000000003,2025,M02,February,3.6,New Hampshire
LAUST330000000000003,2025,M01,January,3.3,New Hampshire
LAUST330000000000003,2024,M12,December,2.8,New Hampshire
LAUST330000000000003,2024,M11,November,2.9,New Hampshire
LAUST330000000000003,2024,M10,October,2.5,New Hampshire
LAUST330000000000003,2024,M09,September,2.4,New Hampshire
LAUST330000000000003,2024,M08,August,2.8,New Hampshire
LAUST330000000000003,2024,M07,July,2.8,New Hampshire
LAUST330000000000003,2024,M06,June,2.5,New Hampshire
LAUST330000000000003,2024,M05,May,2.1,New Hampshire
LAUST330000000000003,2024,M04,April,2.3,New Hampshire
LAUST330000000000003,2024,M03,March,2.7,New Hampshire
LAUST330000000000003,2024,M02,February,2.8,New Hampshire
LAUST330000000000003,2024,M01,January,2.6,New Hampshire
LAUST330000000000003,2023,M12,December,2.0,New Hampshire
LAUST330000000000003,2023,M11,November,2.1,New Hampshire
LAUST330000000000003,2023,M10,October,2.0,New Hampshire
LAUST330000000000003,2023,M09,September,2.2,New Hampshire
LAUST330000000000003,2023,M08,August,2.4,New Hampshire
LAUST330000000000003,2023,M07,July,2.2,New Hampshire
LAUST330000000000003,2023,M06,June,2.1,New Hampshire
LAUST330000000000003,2023,M05,May,2.0,New Hampshire
LAUST330000000000003,2023,M04,April,1.9,New Hampshire
LAUST330000000000003,2023,M03,March,2.4,New Hampshire
LAUST330000000000003,2023,M02,February,2.7,New Hampshire
LAUST330000000000003,2023,M01,January,2.8,New Hampshire
LAUST330000000000003,2022,M12,December,2.2,New Hampshire
LAUST330000000000003,2022,M11,November,2.4,New Hampshire
LAUST330000000000003,2022,M10,October,2.4,New Hampshire
LAUST330000000000003,2022,M09,September,2.4,New Hampshire
LAUST330000000000003,2022,M08,August,2.7,New Hampshire
LAUST330000000000003,2022,M07,July,2.4,New Hampshire
LAUST330000000000003,2022,M06,June,2.3,New Hampshire
LAUST330000000000003,2022,M05,May,2.1,New Hampshire
LAUST330000000000003,2022,M04,April,2.2,New Hampshire
LAUST330000000000003,2022,M03,March,2.5,New Hampshire
LAUST330000000000003,2022,M02,February,2.7,New Hampshire
LAUST330000000000003,2022,M01,January,3.0,New Hampshire
LAUST330000000000003,2021,M12,December,2.1,New Hampshire
LAUST330000000000003,2021,M11,November,2.4,New Hampshire
LAUST330000000000003,2021,M10,October,2.5,New Hampshire
LAUST330000000000003,2021,M09,September,2.9,New Hampshire
LAUST330000000000003,2021,M08,August,3.3,New Hampshire
LAUST330000000000003,2021,M07,July,3.6,New Hampshire
LAUST330000000000003,2021,M06,June,3.8,New Hampshire
LAUST330000000000003,2021,M05,May,3.5,New Hampshire
LAUST330000000000003,2021,M04,April,3.9,New Hampshire
LAUST330000000000003,2021,M03,March,4.4,New Hampshire
LAUST330000000000003,2021,M02,February,4.6,New Hampshire
LAUST330000000000003,2021,M01,January,4.7,New Hampshire
LAUST330000000000003,2020,M12,December,4.4,New Hampshire
LAUST330000000000003,2020,M11,November,4.6,New Hampshire
LAUST330000000000003,2020,M10,October,4.8,New Hampshire
LAUST330000000000003,2020,M09,September,6.0,New Hampshire
LAUST330000000000003,2020,M08,August,6.5,New Hampshire
LAUST330000000000003,2020,M07,July,8.4,New Hampshire
LAUST330000000000003,2020,M06,June,9.5,New Hampshire
LAUST330000000000003,2020,M05,May,11.9,New Hampshire
LAUST330000000000003,2020,M04,April,15.8,New Hampshire
LAUST330000000000003,2020,M03,March,3.2,New Hampshire
LAUST330000000000003,2020,M02,February,2.9,New Hampshire
LAUST330000000000003,2020,M01,January,3.0,New Hampshire
LAUST340000000000003,2025,M07,July,5.6,New Jersey
LAUST340000000000003,2025,M06,June,5.2,New Jersey
LAUST340000000000003,2025,M05,May,4.6,New Jersey
LAUST340000000000003,2025,M04,April,4.7,New Jersey
LAUST340000000000003,2025,M03,March,5.0,New Jersey
LAUST340000000000003,2025,M02,February,5.0,New Jersey
LAUST340000000000003,2025,M01,January,4.9,New Jersey
LAUST340000000000003,2024,M12,December,4.2,New Jersey
LAUST340000000000003,2024,M11,November,4.3,New Jersey
LAUST340000000000003,2024,M10,October,4.2,New Jersey
LAUST340000000000003,2024,M09,September,4.2,New Jersey
LAUST340000000000003,2024,M08,August,5.0,New Jersey
LAUST340000000000003,2024,M07,July,5.3,New Jersey
LAUST340000000000003,2024,M06,June,4.7,New Jersey
LAUST340000000000003,2024,M05,May,4.3,New Jersey
LAUST340000000000003,2024,M04,April,4.0,New Jersey
LAUST340000000000003,2024,M03,March,4.6,New Jersey
LAUST340000000000003,2024,M02,February,4.9,New Jersey
LAUST340000000000003,2024,M01,January,4.7,New Jersey
LAUST340000000000003,2023,M12,December,4.1,New Jersey
LAUST340000000000003,2023,M11,November,4.0,New Jersey
LAUST340000000000003,2023,M10,October,4.2,New Jersey
LAUST340000000000003,2023,M09,September,4.3,New Jersey
LAUST340000000000003,2023,M08,August,4.7,New Jersey
LAUST340000000000003,2023,M07,July,4.7,New Jersey
LAUST340000000000003,2023,M06,June,4.5,New Jersey
LAUST340000000000003,2023,M05,May,4.2,New Jersey
LAUST340000000000003,2023,M04,April,3.6,New Jersey
LAUST340000000000003,2023,M03,March,4.1,New Jersey
LAUST340000000000003,2023,M02,February,4.4,New Jersey
LAUST340000000000003,2023,M01,January,4.2,New Jersey
LAUST340000000000003,2022,M12,December,3.4,New Jersey
LAUST340000000000003,2022,M11,November,3.3,New Jersey
LAUST340000000000003,2022,M10,October,3.1,New Jersey
LAUST340000000000003,2022,M09,September,2.9,New Jersey
LAUST340000000000003,2022,M08,August,3.3,New Jersey
LAUST340000000000003,2022,M07,July,3.8,New Jersey
LAUST340000000000003,2022,M06,June,3.7,New Jersey
LAUST340000000000003,2022,M05,May,3.6,New Jersey
LAUST340000000000003,2022,M04,April,3.8,New Jersey
LAUST340000000000003,2022,M03,March,4.5,New Jersey
LAUST340000000000003,2022,M02,February,5.1,New Jersey
LAUST340000000000003,2022,M01,January,5.7,New Jersey
LAUST340000000000003,2021,M12,December,5.1,New Jersey
LAUST340000000000003,2021,M11,November,5.2,New Jersey
LAUST340000000000003,2021,M10,October,5.5,New Jersey
LAUST340000000000003,2021,M09,September,6.1,New Jersey
LAUST340000000000003,2021,M08,August,6.9,New Jersey
LAUST340000000000003,2021,M07,July,7.4,New Jersey
LAUST340000000000003,2021,M06,June,7.5,New Jersey
LAUST340000000000003,2021,M05,May,6.8,New Jersey
LAUST340000000000003,2021,M04,April,6.9,New Jersey
LAUST340000000000003,2021,M03,March,7.5,New Jersey
LAUST340000000000003,2021,M02,February,7.8,New Jersey
LAUST340000000000003,2021,M01,January,7.8,New Jersey
LAUST340000000000003,2020,M12,December,6.9,New Jersey
LAUST340000000000003,2020,M11,November,6.9,New Jersey
LAUST340000000000003,2020,M10,October,6.6,New Jersey
LAUST340000000000003,2020,M09,September,7.3,New Jersey
LAUST340000000000003,2020,M08,August,13.0,New Jersey
LAUST340000000000003,2020,M07,July,14.9,New Jersey
LAUST340000000000003,2020,M06,June,14.6,New Jersey
LAUST340000000000003,2020,M05,May,15.6,New Jersey
LAUST340000000000003,2020,M04,April,14.4,New Jersey
LAUST340000000000003,2020,M03,March,5.0,New Jersey
LAUST340000000000003,2020,M02,February,4.3,New Jersey
LAUST340000000000003,2020,M01,January,4.4,New Jersey
LAUST350000000000003,2025,M07,July,5.2,New Mexico
LAUST350000000000003,2025,M06,June,4.7,New Mexico
LAUST350000000000003,2025,M05,May,4.1,New Mexico
LAUST350000000000003,2025,M04,April,3.5,New Mexico
LAUST350000000000003,2025,M03,March,3.8,New Mexico
LAUST350000000000003,2025,M02,February,4.3,New Mexico
LAUST350000000000003,2025,M01,January,4.6,New Mexico
LAUST350000000000003,2024,M12,December,3.9,New Mexico
LAUST350000000000003,2024,M11,November,4.2,New Mexico
LAUST350000000000003,2024,M10,October,4.2,New Mexico
LAUST350000000000003,2024,M09,September,4.1,New Mexico
LAUST350000000000003,2024,M08,August,4.5,New Mexico
LAUST350000000000003,2024,M07,July,5.3,New Mexico
LAUST350000000000003,2024,M06,June,4.9,New Mexico
LAUST350000000000003,2024,M05,May,3.8,New Mexico
LAUST350000000000003,2024,M04,April,3.5,New Mexico
LAUST350000000000003,2024,M03,March,3.5,New Mexico
LAUST350000000000003,2024,M02,February,3.8,New Mexico
LAUST350000000000003,2024,M01,January,3.8,New Mexico
LAUST350000000000003,2023,M12,December,3.4,New Mexico
LAUST350000000000003,2023,M11,November,3.5,New Mexico
LAUST350000000000003,2023,M10,October,3.6,New Mexico
LAUST350000000000003,2023,M09,September,3.6,New Mexico
LAUST350000000000003,2023,M08,August,3.9,New Mexico
LAUST350000000000003,2023,M07,July,4.5,New Mexico
LAUST350000000000003,2023,M06,June,4.3,New Mexico
LAUST350000000000003,2023,M05,May,3.4,New Mexico
LAUST350000000000003,2023,M04,April,3.1,New Mexico
LAUST350000000000003,2023,M03,March,3.2,New Mexico
LAUST350000000000003,2023,M02,February,3.7,New Mexico
LAUST350000000000003,2023,M01,January,3.8,New Mexico
LAUST350000000000003,2022,M12,December,3.1,New Mexico
LAUST350000000000003,2022,M11,November,3.3,New Mexico
LAUST350000000000003,2022,M10,October,3.3,New Mexico
LAUST350000000000003,2022,M09,September,3.4,New Mexico
LAUST350000000000003,2022,M08,August,3.7,New Mexico
LAUST350000000000003,2022,M07,July,4.4,New Mexico
LAUST350000000000003,2022,M06,June,4.7,New Mexico
LAUST350000000000003,2022,M05,May,3.9,New Mexico
LAUST350000000000003,2022,M04,April,4.1,New Mexico
LAUST350000000000003,2022,M03,March,4.4,New Mexico
LAUST350000000000003,2022,M02,February,5.0,New Mexico
LAUST350000000000003,2022,M01,January,5.6,New Mexico
LAUST350000000000003,2021,M12,December,5.1,New Mexico
LAUST350000000000003,2021,M11,November,5.6,New Mexico
LAUST350000000000003,2021,M10,October,5.7,New Mexico
LAUST350000000000003,2021,M09,September,6.0,New Mexico
LAUST350000000000003,2021,M08,August,6.9,New Mexico
LAUST350000000000003,2021,M07,July,8.0,New Mexico
LAUST350000000000003,2021,M06,June,8.4,New Mexico
LAUST350000000000003,2021,M05,May,7.2,New Mexico
