ZIP,CBSA,STATE_NAME
01834,14460,MA
01835,14460,MA
01840,14460,MA
01841,14460,MA
01842,14460,MA
01843,14460,MA
01844,14460,MA
01845,14460,MA
01850,14460,MA
01851,14460,MA
01852,14460,MA
01853,14460,MA
01854,14460,MA
01860,14460,MA
01862,14460,MA
01863,14460,MA
01864,14460,MA
01865,14460,MA
01866,14460,MA
01867,14460,MA
01876,14460,MA
01879,14460,MA
01880,14460,MA
01885,14460,MA
01886,14460,MA
01887,14460,MA
01888,14460,MA
01889,14460,MA
01890,14460,MA
01899,14460,MA
01901,14460,MA
01902,14460,MA
01903,14460,MA
01904,14460,MA
01905,14460,MA
01906,14460,MA
01907,14460,MA
01908,14460,MA
01910,14460,MA
01913,14460,MA
01915,14460,MA
01921,14460,MA
01922,14460,MA
01923,14460,MA
01929,14460,MA
01930,14460,MA
01931,14460,MA
01936,14460,MA
01937,14460,MA
01938,14460,MA
01940,14460,MA
01944,14460,MA
01945,14460,MA
01949,14460,MA
01950,14460,MA
01951,14460,MA
01952,14460,MA
01960,14460,MA
01961,14460,MA
01965,14460,MA
01966,14460,MA
01969,14460,MA
01970,14460,MA
01971,14460,MA
01982,14460,MA
01983,14460,MA
01984,14460,MA
01985,14460,MA
02018,14460,MA
02019,14460,MA
02020,14460,MA
02021,14460,MA
02025,14460,MA
02026,14460,MA
02027,14460,MA
02030,14460,MA
02032,14460,MA
02035,14460,MA
02038,14460,MA
02041,14460,MA
02043,14460,MA
02044,14460,MA
02045,14460,MA
02047,14460,MA
02048,14460,MA
02048,39300,MA
02050,14460,MA
02051,14460,MA
02052,14460,MA
02053,14460,MA
02054,14460,MA
02056,14460,MA
02059,14460,MA
02060,14460,MA
02061,14460,MA
02062,14460,MA
02065,14460,MA
02066,14460,MA
02067,14460,MA
02070,14460,MA
02071,14460,MA
02072,14460,MA
02081,14460,MA
02090,14460,MA
02093,14460,MA
02108,14460,MA
02109,14460,MA
02110,14460,MA
02111,14460,MA
02112,14460,MA
02113,14460,MA
02114,14460,MA
02115,14460,MA
02116,14460,MA
02117,14460,MA
02118,14460,MA
02119,14460,MA
02120,14460,MA
02121,14460,MA
02122,14460,MA
02123,14460,MA
02124,14460,MA
02125,14460,MA
02126,14460,MA
02127,14460,MA
02128,14460,MA
02129,14460,MA
02130,14460,MA
